Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts,Form
Delhi Capitals  DC,8,6,2,0,0,0.547,"1,325/150.2","1,320/159.4",12,W  W  L  W  W
Chennai Super Kings  CSK,7,5,2,0,0,1.263,"1,285/134.1","1,153/138.4",10,L  W  W  W  W
Royal Challengers Bangalore  RCB,7,5,2,0,0,-0.171,"1,132/136.3","1,185/140",10,L  W  L  W  W
Mumbai Indians  MI,7,4,3,0,0,0.062,"1,120/138.3","1,098/136.5",8,W  W  L  L  W
Rajasthan Royals  RR,7,3,4,0,0,-0.19,"1,212/138.3","1,207/135",6,W  L  W  L  L
Punjab Kings  PBKS,8,3,5,0,0,-0.368,"1,242/157.4","1,212/147",6,L  W  L  W  L
Kolkata Knight Riders  KKR,7,2,5,0,0,-0.494,"1,110/136.4","1,166/135.2",4,L  W  L  L  L
Sunrisers Hyderabad  SRH,7,1,6,0,0,-0.623,"1,073/138.4","1,158/138.3",2,L  L  L  W  L
